# This puzzle is solvable
15
  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
 56  57  58  59  60  61  62  63  64  65  66  67  68  69  16
 55 104 105 106 107 108 109 110 111 112 113 114 115  70  17
 54 103 144 146 147 178 148 149 150 151 152 153 116  71  18
 53 102 176 145 177 179   0 180 181 182 183 154 117  72  19
 52 101 143 142 175 201 202 203 204 205 184 155 118  73  20
 51  49 100 141 200 216 217 218 219 206 185 156 119  74  21
 98 173 140 174 199 198 215 222 220 207 186 157 120  75  22
 50 139  99 172 197 214 224 223 221 208 187 158 121  76  23
 48  97 138 171 196 213 212 211 210 209 188 159 122  77  24
 47  96 137 170 195 194 193 192 191 190 189 160 123  78  25
 46  95 136 169 168 167 166 165 164 163 162 161 124  79  26
 45  94 135 134 133 132 131 130 129 128 127 126 125  80  27
 44  93  92  91  90  89  88  87  86  85  84  83  82  81  28
 43  42  41  40  39  38  37  36  35  34  33  32  31  30  29
